id,country,country_2,city,institution,cond,response,above40,male,coworkers,computer,other_bystanders
24796,38,UAE,237,2,0,100,1,1,0,0,0
24791,38,UAE,237,1,1,0,1,1,0,0,1
24792,38,UAE,237,1,1,0,0,0,0,1,1
24781,38,UAE,237,1,0,0,1,1,0,1,1
24775,38,UAE,237,1,0,0,0,0,1,1,1
24774,38,UAE,237,1,0,100,0,1,0,1,1
24773,38,UAE,237,1,0,0,0,1,0,1,1
24880,38,UAE,240,3,1,0,0,0,0,1,1
25072,38,UAE,273,5,0,0,1,1,1,1,1
24837,38,UAE,237,5,0,100,0,1,1,1,0
24804,38,UAE,237,2,1,0,0,0,1,1,1
24805,38,UAE,237,2,1,0,0,1,0,0,0
24849,38,UAE,237,5,1,0,0,1,0,1,1
25014,38,UAE,267,4,0,0,1,1,1,1,0
25081,38,UAE,327,1,0,100,1,0,1,1,1
24926,38,UAE,241,3,1,100,0,0,1,1,1
24861,38,UAE,240,1,0,0,1,1,1,0,1
24866,38,UAE,240,1,1,0,1,1,1,1,1
24800,38,UAE,237,2,0,0,0,1,0,0,1
25026,38,UAE,267,4,1,100,0,1,0,1,0
24944,38,UAE,241,5,1,100,0,1,1,1,1
25039,38,UAE,267,5,0,0,0,1,1,1,0
25064,38,UAE,273,3,1,0,0,1,0,1,1
24784,38,UAE,237,1,1,100,0,0,0,1,1
25084,38,UAE,327,1,1,100,0,0,1,1,1
25098,38,UAE,327,4,0,0,0,1,0,1,1
24844,38,UAE,237,5,0,0,0,1,0,1,1
24986,38,UAE,267,3,0,0,1,1,0,1,0
24998,38,UAE,267,3,1,0,0,1,0,1,1
25156,38,UAE,340,4,1,0,0,0,1,1,1
24772,38,UAE,237,1,0,0,0,0,0,1,0
25049,38,UAE,273,1,0,0,1,0,1,1,1
24811,38,UAE,237,3,0,0,0,1,1,1,0
25164,38,UAE,340,5,0,0,0,1,1,1,1
24787,38,UAE,237,1,1,0,1,0,1,1,1
25109,38,UAE,327,5,1,0,0,1,0,0,0
24813,38,UAE,237,3,0,0,0,0,0,1,1
25010,38,UAE,267,4,0,100,0,1,0,1,1
25047,38,UAE,267,5,1,0,0,1,0,0,0
25091,38,UAE,327,3,0,0,0,0,0,1,0
24967,38,UAE,267,2,0,100,1,0,1,1,1
25036,38,UAE,267,5,0,0,0,0,1,1,1
25123,38,UAE,340,1,1,100,0,1,1,1,0
24801,38,UAE,237,2,0,0,1,1,0,1,1
10231,1,Argentina,329,1,0,100,0,1,0,1,1
10293,1,Argentina,330,1,1,100,1,1,1,1,1
10050,1,Argentina,256,4,0,100,1,1,0,1,1
10112,1,Argentina,266,2,1,0,1,0,0,0,0
10331,1,Argentina,332,2,0,0,1,0,1,0,1
10315,1,Argentina,330,5,0,0,1,1,0,0,0
10089,1,Argentina,266,1,0,0,1,1,0,0,1
10101,1,Argentina,266,1,1,100,0,1,1,1,1
10265,1,Argentina,329,4,0,100,0,0,0,1,1
10037,1,Argentina,256,3,1,100,0,1,0,1,1
10261,1,Argentina,329,4,0,0,0,0,0,1,1
10129,1,Argentina,266,3,1,0,0,1,0,1,0
10150,1,Argentina,298,1,0,0,1,1,1,1,1
10025,1,Argentina,256,2,1,100,1,0,0,0,0
10374,1,Argentina,333,2,0,100,1,1,1,1,0
10313,1,Argentina,330,4,1,0,1,1,0,1,0
10040,1,Argentina,256,3,1,100,0,1,0,1,0
10145,1,Argentina,266,5,1,0,1,0,1,1,0
10227,1,Argentina,301,5,1,100,0,1,1,0,1
10391,1,Argentina,333,4,1,100,0,0,1,1,1
10317,1,Argentina,330,5,0,100,0,1,1,1,0
10390,1,Argentina,333,4,0,0,1,1,1,1,0
10070,1,Argentina,256,4,1,100,0,1,0,1,1
10012,1,Argentina,256,1,1,0,0,1,0,1,1
10044,1,Argentina,256,3,1,100,0,1,1,1,1
10379,1,Argentina,333,2,1,0,1,1,1,1,0
10201,1,Argentina,301,2,1,0,1,0,1,0,1
10357,1,Argentina,332,5,0,100,0,0,0,1,1
10337,1,Argentina,332,2,1,0,0,0,0,1,1
10003,1,Argentina,256,1,0,100,0,0,0,1,1
10290,1,Argentina,330,1,1,100,0,1,1,1,1
10207,1,Argentina,301,3,0,0,1,0,0,1,0
10208,1,Argentina,301,3,1,0,0,1,1,1,0
10242,1,Argentina,329,2,0,100,1,0,0,0,1
10289,1,Argentina,330,1,0,0,0,0,1,1,1
10241,1,Argentina,329,2,0,0,1,1,0,1,0
