id,country,country_2,response
10265,1,Argentina,100
10037,1,Argentina,100
10261,1,Argentina,0
10129,1,Argentina,0
10150,1,Argentina,0
10025,1,Argentina,100
10374,1,Argentina,100
10313,1,Argentina,0
10040,1,Argentina,100
10145,1,Argentina,0
10227,1,Argentina,100
10391,1,Argentina,100
10317,1,Argentina,100
10390,1,Argentina,0
10070,1,Argentina,100
10012,1,Argentina,0
10044,1,Argentina,100
10379,1,Argentina,0
10201,1,Argentina,0
10357,1,Argentina,100
10337,1,Argentina,0
10003,1,Argentina,100
10290,1,Argentina,100
10207,1,Argentina,0
10208,1,Argentina,0
10242,1,Argentina,100
10289,1,Argentina,0
10241,1,Argentina,0
10071,1,Argentina,0
10030,1,Argentina,100
10117,1,Argentina,100
10216,1,Argentina,0
10123,1,Argentina,100
10219,1,Argentina,0
10283,1,Argentina,0
10221,1,Argentina,0
10364,1,Argentina,0
10304,1,Argentina,100
10366,1,Argentina,100
10017,1,Argentina,100
10217,1,Argentina,0
10226,1,Argentina,0
10375,1,Argentina,100
10184,1,Argentina,100
10260,1,Argentina,100
10271,1,Argentina,100
10105,1,Argentina,100
10287,1,Argentina,0
10236,1,Argentina,100
10237,1,Argentina,0
10064,1,Argentina,0
10245,1,Argentina,100
10229,1,Argentina,100
10158,1,Argentina,0
10387,1,Argentina,100
10174,1,Argentina,100
10266,1,Argentina,100
10034,1,Argentina,100
10252,1,Argentina,100
10254,1,Argentina,0
10095,1,Argentina,100
10262,1,Argentina,100
10319,1,Argentina,0
10257,1,Argentina,0
10369,1,Argentina,100
10041,1,Argentina,0
10078,1,Argentina,0
10069,1,Argentina,100
10277,1,Argentina,100
10074,1,Argentina,0
10333,1,Argentina,100
10075,1,Argentina,100
10202,1,Argentina,100
10033,1,Argentina,0
10385,1,Argentina,0
10350,1,Argentina,0
10054,1,Argentina,0
10084,1,Argentina,0
10306,1,Argentina,0
10310,1,Argentina,100
10395,1,Argentina,100
10376,1,Argentina,0
10058,1,Argentina,0
10243,1,Argentina,0
10153,1,Argentina,0
10176,1,Argentina,100
10157,1,Argentina,100
10274,1,Argentina,100
10106,1,Argentina,0
10322,1,Argentina,0
10213,1,Argentina,0
10109,1,Argentina,100
10039,1,Argentina,0
10111,1,Argentina,100
10346,1,Argentina,100
10128,1,Argentina,100
10203,1,Argentina,0
10156,1,Argentina,100
10114,1,Argentina,100
10251,1,Argentina,100
10169,1,Argentina,100
10119,1,Argentina,0
10068,1,Argentina,0
10022,1,Argentina,100
10061,1,Argentina,100
10143,1,Argentina,0
10015,1,Argentina,100
10016,1,Argentina,0
10136,1,Argentina,0
10276,1,Argentina,0
10029,1,Argentina,0
10218,1,Argentina,0
10007,1,Argentina,100
10020,1,Argentina,100
10006,1,Argentina,0
10066,1,Argentina,0
10067,1,Argentina,100
10179,1,Argentina,0
10152,1,Argentina,0
10140,1,Argentina,0
10026,1,Argentina,100
10001,1,Argentina,0
